Player,Team,Season,Off Poss,Misses,Team REB% off Own Misses,Team REB% off Teammate Misses,Team PPP on Own Misses,TeamPPP on Teammate Misses,PPP Gap,Reb% Gap,POE by Second Chance Effeciency,POE by Rebound%,POE by Both,POE by SC Eff Per 100,POE by Reb% Per 100,POE by Both per 100
Brian Scalabrine,Boston Celtics,2008,963,65,0.292,0.289,1.111,1.206,-0.095,0.30%,-1.802,0.259,-1.521,-0.187,0.027,-0.158
Brian Skinner,Phoenix Suns,2008,1680,106,0.217,0.246,1,1.186,-0.186,-2.90%,-4.287,-3.08,-7.942,-0.255,-0.183,-0.473
Bruce Bowen,San Antonio Spurs,2008,4459,254,0.291,0.251,1.092,1.126,-0.034,4.00%,-2.491,11.126,8.977,-0.056,0.25,0.201
C.J. Watson,Golden State Warriors,2008,742,58,0.379,0.287,1.263,1.195,0.068,9.20%,1.505,6.767,7.906,0.203,0.912,1.065
CJ Miles,Utah Jazz,2008,1348,123,0.325,0.311,1.289,1.268,0.021,1.40%,0.855,2.207,3.026,0.063,0.164,0.224
Calvin Booth,Philadelphia 76ers,2008,393,18,0.167,0.339,2,1.036,0.964,-17.20%,2.891,-6.208,-0.326,0.736,-1.58,-0.083
Carl Landry,Houston Rockets,2008,1314,84,0.25,0.313,1.176,1.181,-0.005,-6.30%,-0.105,-6.192,-6.323,-0.008,-0.471,-0.481
Carlos Arroyo,Orlando Magic,2008,2397,191,0.209,0.268,1.371,1.245,0.126,-5.90%,5.06,-15.442,-8.958,0.211,-0.644,-0.374
Carlos Boozer,Utah Jazz,2008,5523,588,0.284,0.318,1.389,1.268,0.121,-3.40%,20.172,-27.591,-5.019,0.365,-0.5,-0.091
Carlos Delfino,Toronto Raptors,2008,3626,381,0.302,0.251,0.96,1.123,-0.163,5.10%,-18.748,18.768,3.205,-0.517,0.518,0.088
Carmelo Anthony,Denver Nuggets,2008,5767,753,0.29,0.276,1.197,1.219,-0.022,1.40%,-4.776,12.455,7.907,-0.083,0.216,0.137
Caron Butler,Washington Wizards,2008,4290,504,0.345,0.302,1.311,1.251,0.06,4.30%,10.403,28.547,37.647,0.242,0.665,0.878
Casey Jacobsen,Memphis Grizzlies,2008,1101,76,0.329,0.26,1.05,1.124,-0.074,6.90%,-1.853,5.486,4.02,-0.168,0.498,0.365
Cedric Simmons,Cleveland Cavaliers,2008,129,4,0.25,0.325,2,1.147,0.853,-7.50%,0.853,-0.603,0.507,0.661,-0.467,0.393
Channing Frye,Portland Trail Blazers,2008,2373,232,0.263,0.292,1.34,1.156,0.184,-2.90%,11.256,-9.162,3.355,0.474,-0.386,0.141
Charlie Bell,Milwaukee Bucks,2008,3073,301,0.349,0.318,0.979,1.131,-0.152,3.10%,-15.943,9.166,-5.355,-0.519,0.298,-0.174
Charlie Villanueva,Milwaukee Bucks,2008,3508,460,0.296,0.324,1.219,1.131,0.088,-2.80%,12.038,-15.742,-2.561,0.343,-0.449,-0.073
Chauncey Billups,Detroit Pistons,2008,4540,484,0.291,0.316,1.244,1.229,0.015,-2.50%,2.037,-15.154,-12.941,0.045,-0.334,-0.285
Cheikh Samb,Detroit Pistons,2008,59,1,1,0.313,2,1.229,0.771,68.70%,0.771,1.374,1.615,1.306,2.329,2.738
Chris Andersen,New Orleans Hornets,2008,63,5,0.4,0.292,3,1.185,1.815,10.80%,3.63,1.624,4.272,5.762,2.579,6.781
Chris Bosh,Toronto Raptors,2008,4464,520,0.273,0.253,1.033,1.123,-0.09,2.00%,-12.871,10.725,-1.204,-0.288,0.24,-0.027
Chris Duhon,Chicago Bulls,2008,2875,211,0.341,0.314,1.246,1.127,0.119,2.70%,8.523,7.027,14.882,0.296,0.244,0.518
Chris Kaman,Los Angeles Clippers,2008,3963,362,0.249,0.257,1.122,1.108,0.014,-0.80%,1.213,-3.33,-2.078,0.031,-0.084,-0.052
Chris Mihm,Los Angeles Lakers,2008,556,63,0.254,0.289,0.923,1.208,-0.285,-3.50%,-4.561,-2.029,-7.216,-0.82,-0.365,-1.298
Chris Paul,New Orleans Hornets,2008,5648,661,0.286,0.293,1.201,1.185,0.016,-0.70%,3.084,-5.746,-2.584,0.055,-0.102,-0.046
Chris Quinn,Miami Heat,2008,2426,215,0.251,0.253,1.02,1.056,-0.036,-0.20%,-1.936,-0.457,-2.408,-0.08,-0.019,-0.099
Chris Richard,Minnesota Timberwolves,2008,1046,46,0.261,0.302,1.167,1.24,-0.073,-4.10%,-0.876,-2.209,-3.223,-0.084,-0.211,-0.308
Chris Webber,Golden State Warriors,2008,274,16,0.125,0.289,2.5,1.195,1.305,-16.40%,2.611,-6.558,-0.523,0.953,-2.393,-0.191
Chris Wilcox,Seattle SuperSonics,2008,3492,304,0.293,0.295,1.268,1.096,0.172,-0.20%,15.288,-0.767,14.624,0.438,-0.022,0.419
Chuck Hayes,Houston Rockets,2008,2935,108,0.38,0.309,1.171,1.181,-0.01,7.10%,-0.411,8.914,8.579,-0.014,0.304,0.292
Chucky Atkins,Denver Nuggets,2008,722,80,0.175,0.281,0.923,1.219,-0.296,-10.60%,-4.139,-7.809,-14.449,-0.573,-1.082,-2.001
Coby Karl,Los Angeles Lakers,2008,145,17,0.176,0.289,1.333,1.208,0.125,-11.30%,0.376,-2.545,-1.931,0.259,-1.755,-1.332
Corey Brewer,Minnesota Timberwolves,2008,3410,304,0.27,0.304,1.162,1.24,-0.078,-3.40%,-6.352,-12.223,-19.39,-0.186,-0.358,-0.569
Corey Maggette,Los Angeles Clippers,2008,4842,542,0.244,0.258,1.06,1.108,-0.048,-1.40%,-6.354,-8.418,-15.154,-0.131,-0.174,-0.313
Craig Smith,Minnesota Timberwolves,2008,2918,231,0.359,0.298,1.478,1.24,0.238,6.10%,19.807,21.03,37.442,0.679,0.721,1.283
Cuttino Mobley,Los Angeles Clippers,2008,5127,493,0.26,0.255,1.045,1.108,-0.063,0.50%,-8.067,2.168,-5.768,-0.157,0.042,-0.113
DJ Mbenga,Golden State Warriors,2008,269,14,0.429,0.288,0.4,1.195,-0.795,14.10%,-4.768,0.788,-2.414,-1.773,0.293,-0.897
DJ Mbenga,Los Angeles Lakers,2008,382,31,0.097,0.29,2.5,1.208,1.292,-19.30%,3.876,-14.968,-3.358,1.015,-3.918,-0.879
DJ Strawberry,Phoenix Suns,2008,529,63,0.254,0.245,1.267,1.186,0.081,0.90%,1.284,0.718,1.957,0.243,0.136,0.37
Daequan Cook,Miami Heat,2008,2663,318,0.283,0.25,1.038,1.056,-0.018,3.30%,-1.564,10.852,9.47,-0.059,0.408,0.356
Dahntay Jones,Sacramento Kings,2008,399,30,0.267,0.281,0.75,1.087,-0.337,-1.40%,-2.697,-0.334,-3.18,-0.676,-0.084,-0.797
Damien Wilkins,Seattle SuperSonics,2008,3683,402,0.313,0.292,1.176,1.096,0.08,2.10%,10.16,9.929,19.408,0.276,0.27,0.527
Damon Jones,Cleveland Cavaliers,2008,2444,212,0.307,0.326,1.344,1.147,0.197,-1.90%,12.824,-5.636,8.015,0.525,-0.231,0.328
Damon Stoudamire,San Antonio Spurs,2008,763,100,0.23,0.255,0.647,1.126,-0.479,-2.50%,-11.015,-1.609,-13.816,-1.444,-0.211,-1.811
Damon Stoudamire,Memphis Grizzlies,2008,1221,117,0.188,0.264,1.3,1.124,0.176,-7.60%,3.87,-11.561,-6.127,0.317,-0.947,-0.502
Dan Dickau,Los Angeles Clippers,2008,1960,172,0.267,0.255,1.375,1.108,0.267,1.20%,12.26,2.841,14.55,0.626,0.145,0.742
Dan Gadzuric,Milwaukee Bucks,2008,1021,90,0.333,0.32,0.885,1.131,-0.246,1.30%,-7.385,1.068,-6.02,-0.723,0.105,-0.59
Daniel Gibson,Cleveland Cavaliers,2008,3265,264,0.348,0.324,1.014,1.147,-0.133,2.40%,-12.278,6.682,-4.717,-0.376,0.205,-0.144
Danny Granger,Indiana Pacers,2008,5812,668,0.256,0.272,1.136,1.19,-0.054,-1.60%,-9.243,-11.997,-21.811,-0.159,-0.206,-0.375
Darius Songaila,Washington Wizards,2008,2881,253,0.32,0.307,1.235,1.251,-0.016,1.30%,-1.274,4.112,2.89,-0.044,0.143,0.1
Darius Washington,San Antonio Spurs,2008,287,27,0.296,0.254,1.143,1.126,0.017,4.20%,0.135,1.31,1.426,0.047,0.457,0.497
Darko Milicic,Memphis Grizzlies,2008,3264,281,0.221,0.265,1.148,1.124,0.024,-4.40%,1.491,-14.317,-12.527,0.046,-0.439,-0.384
Darrell Armstrong,New Jersey Nets,2008,1032,70,0.2,0.29,1.231,1.111,0.12,-9.00%,1.682,-7.779,-5.337,0.163,-0.754,-0.517
Darrick Martin,Toronto Raptors,2008,261,33,0.333,0.255,0.6,1.123,-0.523,7.80%,-5.758,1.545,-2.864,-2.206,0.592,-1.097
Darryl Watkins,Sacramento Kings,2008,142,10,0.4,0.281,1.333,1.087,0.246,11.90%,0.985,1.586,2.278,0.694,1.117,1.604
David Harrison,Indiana Pacers,2008,1419,80,0.288,0.269,1.13,1.19,-0.06,1.90%,-1.373,1.701,0.418,-0.097,0.12,0.029
David Lee,New York Knicks,2008,4448,277,0.292,0.31,1.4,1.182,0.218,-1.80%,17.635,-6.925,11.787,0.396,-0.156,0.265
David West,New Orleans Hornets,2008,5370,676,0.297,0.291,1.257,1.185,0.072,0.60%,14.582,5.731,19.982,0.272,0.107,0.372
DeSagana Diop,Dallas Mavericks,2008,1648,48,0.375,0.284,1.385,1.17,0.215,9.10%,3.858,6.039,8.962,0.234,0.366,0.544
DeSagana Diop,New Jersey Nets,2008,747,38,0.211,0.289,1.714,1.111,0.603,-7.80%,4.829,-5.136,1.502,0.647,-0.688,0.201
DeShawn Stevenson,Washington Wizards,2008,4754,479,0.294,0.31,1.202,1.251,-0.049,-1.60%,-6.976,-8.946,-16.29,-0.147,-0.188,-0.343
Delonte West,Cleveland Cavaliers,2008,1505,126,0.333,0.325,1.529,1.147,0.382,0.80%,16.062,1.609,17.269,1.067,0.107,1.147
Delonte West,Seattle SuperSonics,2008,1428,153,0.255,0.296,1.065,1.096,-0.031,-4.10%,-1.221,-6.729,-8.148,-0.086,-0.471,-0.571
Demetris Nichols,Cleveland Cavaliers,2008,28,7,0.571,0.325,2.5,1.147,1.353,24.60%,5.412,4.316,7.392,19.329,15.414,26.401
DerMarr Johnson,San Antonio Spurs,2008,49,7,0.286,0.254,1.5,1.126,0.374,3.20%,0.748,0.332,0.997,1.527,0.678,2.035
Derek Anderson,Charlotte Bobcats,2008,740,78,0.295,0.286,1,1.153,-0.153,0.90%,-3.525,0.705,-2.712,-0.476,0.095,-0.366
Derek Fisher,Los Angeles Lakers,2008,4485,438,0.304,0.286,1.288,1.208,0.08,1.80%,10.639,9.915,19.938,0.237,0.221,0.445
Deron Williams,Utah Jazz,2008,5937,551,0.294,0.315,1.331,1.268,0.063,-2.10%,10.162,-15.649,-4.749,0.171,-0.264,-0.08
Desmond Mason,Milwaukee Bucks,2008,3227,247,0.308,0.321,1.3,1.131,0.169,-1.30%,12.86,-4.318,9.104,0.399,-0.134,0.282
Devean George,Dallas Mavericks,2008,1482,133,0.346,0.283,1.375,1.17,0.205,6.30%,9.417,11.498,19.203,0.635,0.776,1.296
Devin Brown,Cleveland Cavaliers,2008,3238,314,0.382,0.32,1.136,1.147,-0.011,6.20%,-1.326,22.144,21.033,-0.041,0.684,0.65
Devin Harris,Dallas Mavericks,2008,2218,200,0.315,0.284,1.12,1.17,-0.05,3.10%,-3.168,7.037,4.184,-0.143,0.317,0.189
Devin Harris,New Jersey Nets,2008,1618,172,0.215,0.292,1.121,1.111,0.01,-7.70%,0.392,-14.871,-14.337,0.024,-0.919,-0.886
Dikembe Mutombo,Houston Rockets,2008,1133,37,0.351,0.311,1.182,1.181,0.001,4.00%,0.005,1.772,1.776,0,0.156,0.157
Dirk Nowitzki,Dallas Mavericks,2008,5174,684,0.25,0.294,1.216,1.17,0.046,-4.40%,7.787,-36.602,-27.444,0.151,-0.707,-0.53
Dominic McGuire,Washington Wizards,2008,1273,64,0.297,0.308,0.833,1.251,-0.418,-1.10%,-7.936,-0.598,-8.834,-0.623,-0.047,-0.694
Donyell Marshall,Cleveland Cavaliers,2008,279,31,0.452,0.324,1.727,1.147,0.58,12.80%,8.124,6.822,12.654,2.912,2.445,4.535
Donyell Marshall,Seattle SuperSonics,2008,363,35,0.286,0.295,0.7,1.096,-0.396,-0.90%,-3.958,-0.22,-4.302,-1.09,-0.061,-1.185
Dorell Wright,Miami Heat,2008,2075,150,0.213,0.255,0.962,1.056,-0.094,-4.20%,-3.018,-5.993,-9.599,-0.145,-0.289,-0.463
Drew Gooden,Cleveland Cavaliers,2008,2967,291,0.292,0.328,1.169,1.147,0.022,-3.60%,1.858,-12.228,-10.142,0.063,-0.412,-0.342
Drew Gooden,Chicago Bulls,2008,1084,117,0.291,0.317,1.032,1.127,-0.095,-2.60%,-3.229,-3.157,-6.677,-0.298,-0.291,-0.616
Dwayne Jones,Cleveland Cavaliers,2008,884,22,0.364,0.325,1.5,1.147,0.353,3.90%,2.824,1.274,3.798,0.319,0.144,0.43
Dwight Howard,Orlando Magic,2008,6014,391,0.238,0.269,1.163,1.245,-0.082,-3.10%,-7.638,-13.981,-22.607,-0.127,-0.232,-0.376
Dwyane Wade,Miami Heat,2008,3742,498,0.281,0.249,1.068,1.056,0.012,3.20%,1.673,17.341,18.82,0.045,0.463,0.503
Earl Barron,Miami Heat,2008,1628,195,0.246,0.254,1.286,1.056,0.23,-0.80%,11.034,-1.848,9.516,0.678,-0.114,0.585
Earl Boykins,Charlotte Bobcats,2008,1091,111,0.333,0.285,1.375,1.153,0.222,4.80%,8.205,7.449,14.453,0.752,0.683,1.325
Earl Watson,Seattle SuperSonics,2008,4550,408,0.27,0.298,1.112,1.096,0.016,-2.80%,1.818,-12.665,-10.659,0.04,-0.278,-0.234
Eddie Gill,New Jersey Nets,2008,266,17,0.412,0.288,0.857,1.111,-0.254,12.40%,-1.774,1.804,0.563,-0.667,0.678,0.212
Eddie House,Boston Celtics,2008,2774,314,0.236,0.294,1.446,1.206,0.24,-5.80%,17.775,-26.657,-4.455,0.641,-0.961,-0.161
Eddie Jones,Dallas Mavericks,2008,1686,114,0.263,0.286,1.261,1.17,0.091,-2.30%,2.717,-3.303,-0.348,0.161,-0.196,-0.021
Eddy Curry,New York Knicks,2008,2842,247,0.291,0.31,1.032,1.182,-0.15,-1.90%,-10.802,-4.766,-16.26,-0.38,-0.168,-0.572
Eduardo Najera,Denver Nuggets,2008,3400,194,0.273,0.279,1.561,1.219,0.342,-0.60%,18.14,-1.687,16.823,0.534,-0.05,0.495
Elton Brand,Los Angeles Clippers,2008,532,62,0.21,0.257,1.75,1.108,0.642,-4.70%,8.34,-5.113,5.101,1.568,-0.961,0.959
Emeka Okafor,Charlotte Bobcats,2008,5156,400,0.238,0.292,1.069,1.153,-0.084,-5.40%,-8.006,-23.351,-33.198,-0.155,-0.453,-0.644
Eric Piatkowski,Phoenix Suns,2008,220,21,0.19,0.245,0.667,1.186,-0.519,-5.50%,-2.079,-0.77,-3.449,-0.945,-0.35,-1.568
Eric Snow,Cleveland Cavaliers,2008,568,32,0.25,0.326,1.125,1.147,-0.022,-7.60%,-0.176,-2.733,-2.962,-0.031,-0.481,-0.521
Erick Dampier,Dallas Mavericks,2008,3236,99,0.414,0.282,1.147,1.17,-0.023,13.20%,-0.952,15.048,14.4,-0.029,0.465,0.445
Fabricio Oberto,San Antonio Spurs,2008,3022,116,0.276,0.253,1.345,1.126,0.219,2.30%,7.003,3.502,9.936,0.232,0.116,0.329
Flip Murray,Indiana Pacers,2008,1065,131,0.321,0.267,1.132,1.19,-0.058,5.40%,-2.458,7.905,5.855,-0.231,0.742,0.55
Flip Murray,Detroit Pistons,2008,652,82,0.317,0.313,0.905,1.229,-0.324,0.40%,-8.442,0.305,-8.028,-1.295,0.047,-1.231
Francisco Elson,San Antonio Spurs,2008,980,86,0.291,0.253,1.087,1.126,-0.039,3.80%,-0.975,3.502,2.652,-0.1,0.357,0.271
Francisco Elson,Seattle SuperSonics,2008,547,58,0.224,0.296,1.091,1.096,-0.005,-7.20%,-0.064,-4.525,-4.61,-0.012,-0.827,-0.843
Francisco Garcia,Sacramento Kings,2008,4087,404,0.287,0.281,1.011,1.087,-0.076,0.60%,-8.871,2.659,-6.011,-0.217,0.065,-0.147
Fred Jones,New York Knicks,2008,3350,250,0.288,0.31,1.19,1.182,0.008,-2.20%,0.59,-6.682,-6.046,0.018,-0.199,-0.18
Gabe Pruitt,Boston Celtics,2008,184,25,0.32,0.289,2,1.206,0.794,3.10%,6.352,1.573,7.301,3.452,0.855,3.968
Gerald Green,Minnesota Timberwolves,2008,685,99,0.253,0.303,1.35,1.24,0.11,-5.00%,2.759,-6.727,-3.417,0.403,-0.982,-0.499
Gerald Wallace,Charlotte Bobcats,2008,4501,500,0.354,0.275,1.151,1.153,-0.002,7.90%,-0.407,45.434,45.118,-0.009,1.009,1.002
Gilbert Arenas,Washington Wizards,2008,840,118,0.305,0.308,1.167,1.251,-0.084,-0.30%,-3.037,-0.4,-3.466,-0.362,-0.048,-0.413
Glen Davis,Boston Celtics,2008,1725,114,0.377,0.286,1.162,1.206,-0.044,9.10%,-1.883,12.132,10.706,-0.109,0.703,0.621
Gordan Giricek,Philadelphia 76ers,2008,219,28,0.357,0.338,1.333,1.036,0.297,1.90%,2.97,0.711,3.522,1.356,0.325,1.608
Gordan Giricek,Phoenix Suns,2008,882,80,0.288,0.244,1,1.186,-0.186,4.40%,-4.287,3.471,-0.169,-0.486,0.394,-0.019
Gordan Giricek,Utah Jazz,2008,542,61,0.426,0.31,0.955,1.268,-0.313,11.60%,-8.152,6.788,0.865,-1.504,1.252,0.16
Grant Hill,Phoenix Suns,2008,4447,354,0.226,0.247,1.127,1.186,-0.059,-2.10%,-4.771,-8.526,-13.748,-0.107,-0.192,-0.309
Greg Buckner,Minnesota Timberwolves,2008,980,72,0.417,0.299,1.231,1.24,-0.009,11.80%,-0.266,10.404,10.213,-0.027,1.062,1.042
Guillermo Diaz,Los Angeles Clippers,2008,35,3,0.333,0.256,0,1.108,-1.108,7.70%,-1.108,0,-0.851,-3.167,0,-2.432
Hakim Warrick,Memphis Grizzlies,2008,3459,325,0.262,0.262,1.23,1.124,0.106,0.00%,8.978,-0.039,8.943,0.26,-0.001,0.259
Hedo Turkoglu,Orlando Magic,2008,5811,663,0.287,0.26,1.316,1.245,0.071,2.70%,13.464,23.344,35.551,0.232,0.402,0.612
Hilton Armstrong,New Orleans Hornets,2008,1352,81,0.309,0.291,1.571,1.185,0.386,1.80%,9.662,2.186,11.311,0.715,0.162,0.837
Ian Mahinmi,San Antonio Spurs,2008,44,6,0.167,0.254,2,1.126,0.874,-8.70%,0.874,-1.052,0.282,1.986,-2.39,0.641
Ike Diogu,Indiana Pacers,2008,635,70,0.329,0.268,1.105,1.19,-0.085,6.10%,-1.951,4.687,3.095,-0.307,0.738,0.487
Ime Udoka,San Antonio Spurs,2008,2433,216,0.269,0.253,1.208,1.126,0.082,1.60%,4.731,3.993,8.454,0.194,0.164,0.347
Ira Newble,Cleveland Cavaliers,2008,1228,87,0.356,0.325,1.24,1.147,0.093,3.10%,2.884,3.43,6.056,0.235,0.279,0.493
Ira Newble,Los Angeles Lakers,2008,62,6,0.333,0.288,2,1.208,0.792,4.50%,1.584,0.542,1.911,2.554,0.874,3.083
Ira Newble,Seattle SuperSonics,2008,34,5,0.2,0.295,2,1.096,0.904,-9.50%,0.904,-0.947,0.385,2.659,-2.786,1.133
J.J. Barea,Dallas Mavericks,2008,858,99,0.202,0.288,0.778,1.17,-0.392,-8.60%,-7.85,-6.607,-17.791,-0.915,-0.77,-2.074
JJ Redick,Orlando Magic,2008,546,60,0.383,0.263,1,1.245,-0.245,12.00%,-5.633,7.225,3.361,-1.032,1.323,0.616
JR Smith,Denver Nuggets,2008,2941,363,0.289,0.277,1.033,1.219,-0.186,1.20%,-19.541,4.476,-14.259,-0.664,0.152,-0.485
Jacque Vaughn,San Antonio Spurs,2008,2080,162,0.278,0.253,1.289,1.126,0.163,2.50%,7.357,5.174,11.876,0.354,0.249,0.571
Jake Voskuhl,Milwaukee Bucks,2008,736,43,0.233,0.321,1.444,1.131,0.313,-8.80%,3.137,-5.51,-1.177,0.426,-0.749,-0.16
Jamaal Magloire,New Jersey Nets,2008,471,34,0.294,0.288,1.222,1.111,0.111,0.60%,1.116,0.234,1.329,0.237,0.05,0.282
Jamaal Tinsley,Indiana Pacers,2008,2651,287,0.254,0.27,1,1.19,-0.19,-1.60%,-13.878,-4.563,-19.309,-0.524,-0.172,-0.728
Jamal Crawford,New York Knicks,2008,6053,821,0.297,0.312,1.278,1.182,0.096,-1.50%,23.236,-15.762,8.65,0.384,-0.26,0.143
Jamario Moon,Toronto Raptors,2008,4019,296,0.22,0.259,1.4,1.123,0.277,-3.90%,17.977,-16.451,4.776,0.447,-0.409,0.119
Jameer Nelson,Orlando Magic,2008,3847,320,0.212,0.271,1.516,1.245,0.271,-5.90%,18.408,-28.147,-4.712,0.478,-0.732,-0.122
James Augustine,Orlando Magic,2008,282,16,0.25,0.265,1.75,1.245,0.505,-1.50%,2.02,-0.423,1.719,0.716,-0.15,0.61
James Jones,Portland Trail Blazers,2008,2259,184,0.293,0.29,1.381,1.156,0.225,0.30%,12.153,0.797,12.82,0.538,0.035,0.568
James Posey,Boston Celtics,2008,3419,241,0.253,0.292,1.056,1.206,-0.15,-3.90%,-9.174,-9.791,-20.36,-0.268,-0.286,-0.595
Jannero Pargo,New Orleans Hornets,2008,2752,398,0.281,0.293,1.155,1.185,-0.03,-1.20%,-3.394,-5.39,-8.925,-0.123,-0.196,-0.324
Jared Dudley,Charlotte Bobcats,2008,2593,185,0.276,0.287,1.186,1.153,0.033,-1.10%,1.673,-2.396,-0.657,0.065,-0.092,-0.025
Jared Jeffries,New York Knicks,2008,2513,162,0.37,0.306,1.217,1.182,0.035,6.40%,2.107,12.65,14.392,0.084,0.503,0.573
Jarrett Jack,Portland Trail Blazers,2008,4035,353,0.326,0.287,1.069,1.156,-0.087,3.90%,-10.037,14.75,5.918,-0.249,0.366,0.147
Jarron Collins,Utah Jazz,2008,1362,46,0.283,0.312,1.385,1.268,0.117,-2.90%,1.515,-1.886,-0.212,0.111,-0.138,-0.016
Jarvis Hayes,Detroit Pistons,2008,2368,287,0.345,0.31,1.023,1.229,-0.206,3.50%,-20.414,10.187,-8.174,-0.862,0.43,-0.345
Jason Collins,New Jersey Nets,2008,1255,31,0.29,0.289,1,1.111,-0.111,0.10%,-0.995,0.056,-0.933,-0.079,0.004,-0.074
Jason Collins,Memphis Grizzlies,2008,956,29,0.276,0.262,0.857,1.124,-0.267,1.40%,-2.136,0.357,-1.668,-0.223,0.037,-0.174
Jason Hart,Utah Jazz,2008,1171,122,0.352,0.31,1.03,1.268,-0.238,4.20%,-10.225,5.306,-3.695,-0.873,0.453,-0.316
Jason Kapono,Toronto Raptors,2008,2890,255,0.247,0.257,1.241,1.123,0.118,-1.00%,7.391,-3.049,4.63,0.256,-0.106,0.16
Jason Kidd,Dallas Mavericks,2008,1936,140,0.257,0.287,1,1.17,-0.17,-3.00%,-6.13,-4.119,-10.951,-0.317,-0.213,-0.566
Jason Kidd,New Jersey Nets,2008,3632,348,0.29,0.288,1.012,1.111,-0.099,0.20%,-9.997,0.66,-9.272,-0.275,0.018,-0.255
Jason Maxiell,Detroit Pistons,2008,3193,206,0.277,0.315,1.568,1.229,0.339,-3.80%,19.307,-12.47,9.531,0.605,-0.391,0.298
Jason Richardson,Charlotte Bobcats,2008,5979,820,0.283,0.287,1.108,1.153,-0.045,-0.40%,-10.41,-3.657,-14.215,-0.174,-0.061,-0.238
Jason Smith,Philadelphia 76ers,2008,2086,169,0.296,0.34,0.909,1.036,-0.127,-4.40%,-6.364,-6.835,-14.155,-0.305,-0.328,-0.679
Jason Terry,Dallas Mavericks,2008,4782,537,0.276,0.287,1.15,1.17,-0.02,-1.10%,-3.061,-7.137,-10.326,-0.064,-0.149,-0.216
Jason Williams,Miami Heat,2008,3577,339,0.206,0.258,0.922,1.056,-0.134,-5.20%,-9.378,-16.121,-27.842,-0.262,-0.451,-0.778
Javaris Crittenton,Los Angeles Lakers,2008,361,27,0.111,0.29,1,1.208,-0.208,-17.90%,-0.624,-4.819,-6.446,-0.173,-1.335,-1.786
Javaris Crittenton,Memphis Grizzlies,2008,1003,108,0.324,0.26,1.065,1.124,-0.059,6.40%,-2.086,7.397,5.725,-0.208,0.737,0.571
Jeff Foster,Indiana Pacers,2008,3751,168,0.256,0.27,1.025,1.19,-0.165,-1.40%,-7.1,-2.363,-9.843,-0.189,-0.063,-0.262
Jeff Green,Seattle SuperSonics,2008,4473,429,0.31,0.293,0.991,1.096,-0.105,1.70%,-13.902,7.368,-5.757,-0.311,0.165,-0.129
Jeff McInnis,Charlotte Bobcats,2008,2635,141,0.255,0.287,0.871,1.153,-0.282,-3.20%,-10.162,-3.926,-15.36,-0.386,-0.149,-0.583
Jeremy Richardson,Atlanta Hawks,2008,181,18,0.222,0.322,1.5,1.174,0.326,-10.00%,1.303,-2.686,-0.8,0.72,-1.484,-0.442
Jeremy Richardson,San Antonio Spurs,2008,49,4,0.25,0.254,2,1.126,0.874,-0.40%,0.874,-0.033,0.855,1.784,-0.068,1.745
Jeremy Richardson,Memphis Grizzlies,2008,26,6,0.5,0.261,0,1.124,-1.124,23.90%,-3.372,0,-1.762,-12.97,0,-6.777
Jermaine O'Neal,Indiana Pacers,2008,2422,287,0.3,0.267,1.206,1.19,0.016,3.30%,1.356,11.422,12.629,0.056,0.472,0.521
Jermareo Davidson,Charlotte Bobcats,2008,607,74,0.365,0.284,1.417,1.153,0.264,8.10%,7.112,8.438,13.981,1.172,1.39,2.303
Jerry Stackhouse,Dallas Mavericks,2008,2707,313,0.268,0.287,1,1.17,-0.17,-1.90%,-14.304,-5.851,-21.151,-0.528,-0.216,-0.781
Joakim Noah,Chicago Bulls,2008,2944,190,0.368,0.313,1.291,1.127,0.164,5.50%,11.457,13.533,23.274,0.389,0.46,0.791
Joe Johnson,Atlanta Hawks,2008,6177,850,0.325,0.32,1.176,1.174,0.002,0.50%,0.535,4.573,5.1,0.009,0.074,0.083
Joe Smith,Cleveland Cavaliers,2008,1074,83,0.217,0.328,0.867,1.147,-0.28,-11.10%,-5.046,-7.973,-15.598,-0.47,-0.742,-1.452
Joe Smith,Chicago Bulls,2008,2169,258,0.283,0.318,1,1.127,-0.127,-3.50%,-9.288,-9.123,-19.572,-0.428,-0.421,-0.902
Joel Anthony,Miami Heat,2008,874,32,0.219,0.253,0.5,1.056,-0.556,-3.40%,-3.891,-0.555,-5.063,-0.445,-0.063,-0.579
Joel Przybilla,Portland Trail Blazers,2008,3232,106,0.34,0.289,1.121,1.156,-0.035,5.10%,-1.249,6.015,4.952,-0.039,0.186,0.153
Joey Graham,Toronto Raptors,2008,619,64,0.234,0.256,1.231,1.123,0.108,-2.20%,1.61,-1.735,0.026,0.26,-0.28,0.004
Johan Petro,Seattle SuperSonics,2008,2636,255,0.302,0.294,0.848,1.096,-0.248,0.80%,-19.046,1.704,-16.845,-0.723,0.065,-0.639
John Salmons,Sacramento Kings,2008,4902,418,0.34,0.273,0.943,1.087,-0.144,6.70%,-20.517,26.093,9.575,-0.419,0.532,0.195
Jordan Farmar,Los Angeles Lakers,2008,3302,340,0.274,0.29,1.012,1.208,-0.196,-1.60%,-18.25,-5.592,-24.927,-0.553,-0.169,-0.755
Jorge Garbajosa,Toronto Raptors,2008,137,17,0.235,0.256,1,1.123,-0.123,-2.10%,-0.494,-0.354,-0.891,-0.36,-0.258,-0.651
